Name of the neighborhood,Shleter Number,Address,Area,Type,Capacity,Operator,X-axis coordinates,Y axis coordinates,Address for the map,Administration,neighborhood,category
Beit Yisrael,841,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79069840%2C35.22133660&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79069840%2C35.22133660&amp;navigate=yes&amp;zoom=16"">25 Yoel St.</a> ",100,,80,"""Mosiyof"" synagogue",31.79120318,35.22139609,25 Yoel St.,,,HaBucharim - Beit Yisrael
Beit Yisrael,908,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79186860%2C35.22323570&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79186860%2C35.22323570&amp;navigate=yes&amp;zoom=16"">22 Shimshon Polanski St.</a> ",100,,80,Bucharim Community Administration,31.79208743,35.2232357,22 Shimshon Polanski St.,,,HaBucharim - Beit Yisrael
Talbiya,Public Shelter No. 807,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.77001220%2C35.21782930&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.77001220%2C35.21782930&amp;navigate=yes&amp;zoom=16"">7 Benjamin Disraeli St.</a> ",115,,92,"Emergency and Security Division, Jerusalem Municipality",31.77014346,35.21700218,7 Benjamin Disraeli St.,,,Talbiya - Komemiyut
Sanhedria,Public Shelter No.602,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79747430%2C35.21873600&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79747430%2C35.21873600&amp;navigate=yes&amp;zoom=16"">6 HaSanhedrin St.</a> ",100,Shelter,80,"""Hasidei Morditz"" yeshiva",31.79755634,35.21872527,6 HaSanhedrin St.,,,Sanhedria
"Shmuel HaNavi ",Public Shelter No.604,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79568800%2C35.21879420&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79568800%2C35.21879420&amp;navigate=yes&amp;zoom=16"">8 Shimon Hacham St.</a> ",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.795412149351016,35.2188737,8 Shimon Hacham St.,,,Shmuel HaNavi
Romema,Public Shelter No.606,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79558840%2C35.21449380&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79558840%2C35.21449380&amp;navigate=yes&amp;zoom=16"">1 Pnina St.</a> ",80,,64,"Emergency and Security Division, Jerusalem Municipality",31.795624849266986,35.21447234627226,1 Pnina St.,,,Romema
"Bucharim ",Public Shelter No.609,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79223540%2C35.21767550&amp;navigate=yes&amp;zoom=16?ll=31.79223540%2C35.21767550&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79223540%2C35.21767550&amp;navigate=yes&amp;zoom=16?ll=31.79223540%2C35.21767550&amp;navigate=yes&amp;zoom=16"">23 Yisa Bracha St.</a> ",250,"Shelter ",200,"Emergency and Security Division, Jerusalem Municipality",31.79229011,35.2176755,23 Yisa Bracha St.,,,HaBucharim - Beit Yisrael
Bukharim,Public Shelter No.612,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.78984170%2C35.22089090&amp;navigate=yes&amp;zoom=16?ll=31.78984170%2C35.22089090&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.78984170%2C35.22089090&amp;navigate=yes&amp;zoom=16?ll=31.78984170%2C35.22089090&amp;navigate=yes&amp;zoom=16"">16 Yoel St.</a> ",50,Shelter,40,Karlin Hasidic community,31.78987955,35.22089024,16 Yoel St.,,,HaBucharim - Beit Yisrael
Shmuel HaNavi,Public Shelter No.616,"<a rel=""noopener"" href=""https://ul.waze.com/ul?place=ChIJu7pxf90pAxURLAhuO0f2chM&amp;ll=31.79247020%2C35.22314580&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"" target=""_blank"" data-anchor=""?place=ChIJu7pxf90pAxURLAhuO0f2chM&amp;ll=31.79247020%2C35.22314580&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location"">61 Shmuel Hanavi St.</a> ",,Shelter,80,"Emergency and Security Division, Jerusalem Municipality",31.79249233140142,35.22309569,61 Shmuel Hanavi St.,,,Shmuel HaNavi
Shmuel HaNavi,Public Shelter No.618,"<a rel=""noopener"" href=""https://www.waze.com/ul?ll=31.79279960%2C35.22317870&amp;navigate=yes&amp;zoom=16"" target=""_blank"" data-anchor=""?ll=31.79279960%2C35.22317870&amp;navigate=yes&amp;zoom=16"">66 Shmuel HaNavi St.</a> ",110,,137,"""Ohalei Ya'akov"" synagogue ",31.792860731292258,35.22315682,66 Shmuel HaNavi St.,,,Shmuel HaNavi
